文件名,项目ID,项目名称,错误关键词,正确htmlKey
ac15.html,ac15,AC-15,ac15,ac-15
ak47.html,ak47,AK-47,ak47,ak-47
akey47.html,akey47,AKEY-47,akey47,akey-47
alpha_bullets.html,alpha_bullets,A级子弹,alpha-bullets,alpha-bullet
ancient_heros_bandana.html,ancient_heros_bandana,古代英雄的头巾,ancient-heros-bandana,ancient-hero-s-bandana
awp.html,awp,狙击枪,awp,a-w-p
betrayers_shield.html,betrayers_shield,背弃者护罩,betrayers-shield,betrayer-s-shield
blank_companions_ring.html,blank_companions_ring,空响弹伙伴之戒,blank-companions-ring,blank-companion-s-ring
cartographers_ring.html,cartographers_ring,制图师的戒指,cartographers-ring,cartographer-s-ring
fortunes_favor.html,fortunes_favor,财富的青睐,fortunes-favor,fortune-s-favor
gunslingers_ashes.html,gunslingers_ashes,枪手骨灰,gunslingers-ashes,gunslinger-s-ashes
infuriating_note_1.html,infuriating_note_1,令人气愤的纸条,infuriating-note-1,infuriating-note
infuriating_note_2.html,infuriating_note_2,令人气愤的纸条,infuriating-note-2,infuriating-note
infuriating_note_3.html,infuriating_note_3,令人气愤的纸条,infuriating-note-3,infuriating-note
infuriating_note_4.html,infuriating_note_4,令人气愤的纸条,infuriating-note-4,infuriating-note
infuriating_note_5.html,infuriating_note_5,令人气愤的纸条,infuriating-note-5,infuriating-note
infuriating_note_6.html,infuriating_note_6,令人气愤的纸条,infuriating-note-6,infuriating-note
jk47.html,jk47,JK-47,jk47,jk-47
junkan.html,junkan,垃圾,junkan,junk
knights_gun.html,knights_gun,骑士之枪,knights-gun,knight-s-gun
lichs_eye_bullets.html,lichs_eye_bullets,巫妖之眼子弹,lichs-eye-bullets,lich-s-eye-bullets
master_round_1.html,master_round_1,胜者之弹,master-round-1,master-round-i
master_round_2.html,master_round_2,胜者之弹,master-round-2,master-round-ii
master_round_3.html,master_round_3,胜者之弹,master-round-3,master-round-iii
master_round_4.html,master_round_4,胜者之弹,master-round-4,master-round-iv
master_round_5.html,master_round_5,胜者之弹,master-round-5,master-round-v
old_knights_flask.html,old_knights_flask,老骑士的酒壶,old-knights-flask,old-knight-s-flask
old_knights_helm.html,old_knights_helm,老骑士的头盔,old-knights-helm,old-knight-s-helm
old_knights_shield.html,old_knights_shield,老骑士的盾,old-knights-shield,old-knight-s-shield
robots_left_hand.html,robots_left_hand,罗伯特的右手,robots-left-hand,robot-s-left-hand
robots_right_hand.html,robots_right_hand,机器人右手,robots-right-hand,robot-s-right-hand
rubensteins_monster.html,rubensteins_monster,Rubenstein's Monster,rubensteins-monster,rubenstein-s-monster
rube_adyne_mk2.html,rube_adyne_mk2,鲁布-亚达因型2号,rube-adyne-mk2,rube-adyne-mk-ii
shades_revolver.html,shades_revolver,墨镜子弹的左轮手枪,shades-revolver,shades-s-revolver
smileys_revolver.html,smileys_revolver,笑脸左轮,smileys-revolver,smiley-s-revolver
thompson.html,thompson,汤普森冲锋枪,thompson,thompson-sub-machinegun
vertebraek47.html,vertebraek47,脊椎K-47,vertebraek47,vertebraek-47
